lat,lng,elev
-36.878393,174.765599,148.0
-36.878380,174.765620,147.9
-36.878361,174.765650,153.6
-36.878330,174.765700,147.4
-36.878270,174.765760,148.0
-36.878255,174.765775,148.1
-36.878215,174.765815,152.1
-36.878210,174.765820,148.0
-36.878140,174.765880,148.3
-36.878118,174.765894,148.6
-36.877993,174.765978,149.1
-36.877982,174.765985,148.8
-36.877845,174.766076,148.4
-36.877749,174.766141,148.5
-36.877709,174.766167,147.7
-36.877572,174.766259,147.1
-36.877505,174.766303,146.9
-36.877450,174.766340,146.0
-36.877436,174.766345,146.0
-36.877420,174.766350,145.8
-36.877380,174.766360,145.5
-36.877340,174.766350,145.6
-36.877301,174.766330,146.0
-36.877300,174.766330,146.0
-36.877270,174.766310,146.1
-36.877260,174.766298,145.2
-36.877180,174.766200,147.8
-36.877168,174.766188,148.0
-36.877106,174.766126,147.1
-36.877080,174.766100,148.6
-36.877034,174.766068,148.7
-36.876980,174.766030,148.5
-36.876930,174.765990,148.5
-36.876900,174.765977,148.3
-36.876860,174.765960,147.8
-36.876840,174.765951,145.7
-36.876790,174.765930,147.1
-36.876766,174.765922,146.8
-36.876700,174.765900,145.8
-36.876362,174.765824,139.8
-36.876227,174.765794,138.7
-36.876210,174.765790,138.8
-36.876160,174.765780,138.8
-36.876100,174.765780,138.3
-36.876092,174.765783,138.1
-36.876040,174.765800,137.3
-36.875956,174.765833,135.9
-36.875820,174.765885,134.7
-36.875717,174.765925,134.7
-36.875684,174.765938,134.3
-36.875638,174.765956,134.3
-36.875550,174.765990,134.4
-36.875548,174.765991,134.4
-36.875412,174.766045,134.0
-36.875400,174.766050,133.9
-36.875340,174.766060,133.8
-36.875300,174.766070,133.6
-36.875277,174.766075,133.6
-36.875237,174.766083,133.8
-36.875200,174.766090,133.4
-36.875141,174.766102,133.2
-36.875100,174.766110,133.2
-36.875005,174.766119,133.4
-36.875000,174.766120,133.4
-36.874900,174.766140,133.3
-36.874870,174.766152,133.1
-36.874750,174.766200,132.4
-36.874740,174.766200,132.4
-36.874734,174.766203,132.4
-36.874664,174.766238,132.4
-36.874640,174.766250,131.5
-36.874598,174.766267,131.2
-36.874540,174.766290,130.6
-36.874470,174.766310,130.0
-36.874462,174.766313,129.9
-36.874410,174.766330,129.4
-36.874340,174.766330,129.5
-36.874326,174.766330,129.5
-36.874280,174.766330,129.6
-36.874191,174.766317,130.2
-36.874140,174.766310,130.6
-36.874056,174.766303,131.0
-36.874020,174.766300,130.9
-36.873950,174.766280,131.2
-36.873922,174.766272,131.3
-36.873917,174.766271,131.3
-36.873880,174.766260,131.3
-36.873810,174.766230,131.5
-36.873788,174.766218,131.6
-36.873787,174.766217,131.6
-36.873740,174.766190,131.4
-36.873680,174.766150,131.2
-36.873653,174.766123,131.2
-36.873630,174.766100,130.8
-36.873610,174.766070,130.7
-36.873591,174.766045,128.4
-36.873580,174.766030,130.3
-36.873550,174.765960,130.3
-36.873530,174.765900,130.4
-36.873525,174.765875,130.5
-36.873522,174.765861,130.6
-36.873520,174.765850,130.7
-36.873496,174.765706,126.9
-36.873450,174.765430,131.3
-36.873430,174.765380,130.7
-36.873426,174.765368,129.3
-36.873410,174.765320,130.1
-36.873395,174.765291,129.6
-36.873380,174.765260,129.0
-36.873360,174.765220,128.3
-36.873342,174.765198,124.5
-36.873320,174.765170,126.8
-36.873300,174.765120,126.0
-36.873280,174.765090,125.2
-36.873270,174.765030,124.9
-36.873269,174.765028,124.7
-36.873264,174.765013,124.6
-36.873260,174.765000,124.4
-36.873240,174.764860,123.3
-36.873240,174.764859,119.8
-36.873240,174.764780,122.6
-36.873249,174.764691,122.7
-36.873250,174.764680,122.0
-36.873271,174.764530,120.3
-36.873272,174.764523,123.5
-36.873280,174.764470,119.5
-36.873300,174.764410,118.9
-36.873330,174.764380,119.0
-36.873371,174.764357,120.2
-36.873400,174.764340,119.6
-36.873409,174.764345,119.9
-36.873420,174.764350,120.3
-36.873437,174.764358,123.5
-36.873440,174.764360,121.0
-36.873470,174.764360,121.7
-36.873472,174.764359,123.5
-36.873490,174.764350,122.0
-36.873510,174.764320,121.8
-36.873520,174.764290,121.4
-36.873520,174.764250,120.5
-36.873500,174.764210,119.2
-36.873518,174.764192,119.9
-36.873520,174.764190,119.2
-36.873547,174.764152,118.9
-36.873620,174.764050,118.4
-36.873634,174.764026,119.6
-36.873686,174.763936,117.7
-36.873730,174.763860,120.1
-36.873730,174.763860,117.4
-36.873750,174.763810,117.2
-36.873788,174.763718,117.0
-36.873799,174.763694,118.0
-36.873800,174.763690,117.0
-36.873826,174.763606,116.2
-36.873840,174.763560,115.7
-36.873849,174.763526,119.6
-36.873870,174.763450,114.5
-36.873882,174.763359,116.3
-36.873890,174.763300,112.2
-36.873920,174.763220,111.7
-36.873928,174.763192,113.0
-36.873950,174.763120,110.8
-36.873969,174.763089,110.8
-36.874007,174.763025,114.8
-36.874010,174.763020,110.9
-36.874060,174.762940,111.0
-36.874107,174.762883,111.5
-36.874126,174.762860,115.5
-36.874245,174.762715,111.8
-36.874261,174.762694,113.4
-36.874380,174.762550,108.7
-36.874383,174.762547,108.6
-36.874401,174.762529,108.8
-36.874410,174.762520,107.9
-36.874440,174.762500,107.5
-36.874450,174.762490,107.3
-36.874490,174.762470,106.9
-36.874519,174.762463,106.8
-36.874530,174.762460,106.8
-36.874522,174.762364,104.0
-36.874507,174.762195,100.1
-36.874500,174.762110,99.6
-36.874524,174.762095,99.5
-36.874580,174.762060,99.4
-36.874661,174.761998,99.6
-36.874750,174.761930,100.8
-36.874798,174.761896,101.4
-36.874839,174.761866,104.4
-36.874890,174.761830,103.4
-36.874934,174.761805,104.2
-36.874980,174.761780,104.7
-36.875071,174.761735,105.3
-36.875080,174.761730,105.3
-36.875131,174.761705,105.5
-36.875140,174.761700,105.1
-36.875207,174.761676,104.9
-36.875250,174.761660,104.8
-36.875222,174.761539,102.6
-36.875182,174.761369,100.1
-36.875110,174.761060,97.7
-36.875110,174.761031,97.3
-36.875110,174.761030,97.4
-36.875120,174.760990,97.1
-36.875130,174.760960,96.8
-36.875140,174.760920,96.5
-36.875173,174.760864,96.2
-36.875220,174.760786,95.4
-36.875272,174.760698,95.1
-36.875358,174.760554,93.8
-36.875371,174.760532,94.3
-36.875450,174.760400,93.0
-36.875467,174.760366,93.0
-36.875497,174.760305,92.5
-36.875530,174.760240,92.2
-36.875540,174.760200,91.9
-36.875540,174.760200,91.6
-36.875540,174.760170,91.6
-36.875550,174.760140,91.4
-36.875540,174.760120,91.2
-36.875540,174.760090,90.9
-36.875529,174.760031,90.2
-36.875503,174.759891,88.8
-36.875498,174.759862,87.7
-36.875450,174.759600,85.5
-36.875437,174.759524,84.2
-36.875420,174.759430,83.5
-36.875405,174.759355,82.4
-36.875390,174.759280,81.8
-36.875379,174.759196,81.0
-36.875377,174.759186,80.1
-36.875230,174.758110,76.3
-36.875220,174.758020,76.0
-36.875200,174.758020,75.9
-36.875180,174.758010,75.9
-36.875166,174.758003,75.8
-36.875160,174.758000,75.8
-36.875160,174.757980,75.8
-36.875150,174.757970,75.7
-36.875150,174.757960,75.7
-36.875150,174.757940,75.6
-36.875160,174.757920,75.6
-36.875170,174.757900,75.5
-36.875180,174.757890,75.5
-36.875190,174.757880,75.5
-36.875180,174.757835,75.3
-36.875132,174.757617,74.5
-36.875105,174.757497,74.2
-36.875010,174.757070,72.8
-36.875030,174.757159,72.9
-36.875132,174.757617,74.5
-36.875142,174.757666,74.8
-36.875190,174.757880,75.5
-36.875200,174.757880,75.5
-36.875220,174.757880,75.5
-36.875230,174.757890,75.5
-36.875250,174.757900,75.6
-36.875260,174.757920,75.7
